wavelength,n,k
9.80E+002,2.27E+000,2.64E-002
9.82E+002,2.27E+000,2.65E-002
9.84E+002,2.27E+000,2.65E-002
9.86E+002,2.27E+000,2.66E-002
9.88E+002,2.27E+000,2.66E-002
9.90E+002,2.27E+000,2.67E-002
9.92E+002,2.27E+000,2.67E-002
9.94E+002,2.27E+000,2.68E-002
9.96E+002,2.27E+000,2.68E-002
9.98E+002,2.27E+000,2.69E-002
1.00E+003,2.27E+000,2.69E-002
1.00E+003,2.27E+000,2.70E-002
1.00E+003,2.27E+000,2.70E-002
1.01E+003,2.27E+000,2.71E-002
1.01E+003,2.26E+000,2.72E-002
1.01E+003,2.26E+000,2.72E-002
1.01E+003,2.26E+000,2.73E-002
1.01E+003,2.26E+000,2.73E-002
1.02E+003,2.26E+000,2.74E-002
1.02E+003,2.26E+000,2.74E-002
1.02E+003,2.26E+000,2.75E-002
1.02E+003,2.26E+000,2.76E-002
1.02E+003,2.26E+000,2.76E-002
1.03E+003,2.26E+000,2.77E-002
1.03E+003,2.26E+000,2.78E-002
1.03E+003,2.26E+000,2.78E-002
1.03E+003,2.26E+000,2.79E-002
1.03E+003,2.26E+000,2.79E-002
1.04E+003,2.26E+000,2.80E-002
1.04E+003,2.26E+000,2.81E-002
1.04E+003,2.26E+000,2.81E-002
1.04E+003,2.26E+000,2.82E-002
1.04E+003,2.25E+000,2.82E-002
1.05E+003,2.25E+000,2.83E-002
1.05E+003,2.25E+000,2.84E-002
1.05E+003,2.25E+000,2.84E-002
1.05E+003,2.25E+000,2.85E-002
1.05E+003,2.25E+000,2.86E-002
1.06E+003,2.25E+000,2.86E-002
1.06E+003,2.25E+000,2.87E-002
1.06E+003,2.25E+000,2.87E-002
1.06E+003,2.25E+000,2.88E-002
1.06E+003,2.25E+000,2.89E-002
1.07E+003,2.25E+000,2.89E-002
1.07E+003,2.25E+000,2.90E-002
1.07E+003,2.25E+000,2.90E-002
1.07E+003,2.25E+000,2.91E-002
1.07E+003,2.25E+000,2.92E-002
1.08E+003,2.25E+000,2.92E-002
1.08E+003,2.25E+000,2.93E-002
1.08E+003,2.25E+000,2.93E-002
1.08E+003,2.25E+000,2.94E-002
1.08E+003,2.25E+000,2.95E-002
1.09E+003,2.24E+000,2.95E-002
1.09E+003,2.24E+000,2.96E-002
1.09E+003,2.24E+000,2.96E-002
1.09E+003,2.24E+000,2.97E-002
1.09E+003,2.24E+000,2.97E-002
1.10E+003,2.24E+000,2.98E-002
1.10E+003,2.24E+000,2.99E-002
1.10E+003,2.24E+000,2.99E-002
1.10E+003,2.24E+000,3.00E-002
1.10E+003,2.24E+000,3.00E-002
1.11E+003,2.24E+000,3.01E-002
1.11E+003,2.24E+000,3.01E-002
1.11E+003,2.24E+000,3.02E-002
1.11E+003,2.24E+000,3.02E-002
1.11E+003,2.24E+000,3.03E-002
1.12E+003,2.24E+000,3.03E-002
1.12E+003,2.24E+000,3.04E-002
1.12E+003,2.24E+000,3.04E-002
1.12E+003,2.24E+000,3.05E-002
1.12E+003,2.24E+000,3.05E-002
1.13E+003,2.24E+000,3.06E-002
1.13E+003,2.24E+000,3.06E-002
1.13E+003,2.24E+000,3.07E-002
1.13E+003,2.24E+000,3.07E-002
1.13E+003,2.24E+000,3.08E-002
1.14E+003,2.24E+000,3.08E-002
1.14E+003,2.24E+000,3.09E-002
1.14E+003,2.24E+000,3.09E-002
1.14E+003,2.23E+000,3.10E-002
1.14E+003,2.23E+000,3.10E-002
1.15E+003,2.23E+000,3.11E-002
1.15E+003,2.23E+000,3.11E-002
1.15E+003,2.23E+000,3.12E-002
1.15E+003,2.23E+000,3.12E-002
1.15E+003,2.23E+000,3.13E-002
1.16E+003,2.23E+000,3.13E-002
1.16E+003,2.23E+000,3.13E-002
1.16E+003,2.23E+000,3.14E-002
1.16E+003,2.23E+000,3.14E-002
1.16E+003,2.23E+000,3.15E-002
1.17E+003,2.23E+000,3.15E-002
1.17E+003,2.23E+000,3.15E-002
1.17E+003,2.23E+000,3.16E-002
1.17E+003,2.23E+000,3.16E-002
1.17E+003,2.23E+000,3.17E-002
1.18E+003,2.23E+000,3.17E-002
1.18E+003,2.23E+000,3.17E-002
1.18E+003,2.23E+000,3.18E-002
1.18E+003,2.23E+000,3.18E-002
1.18E+003,2.23E+000,3.19E-002
1.19E+003,2.23E+000,3.19E-002
1.19E+003,2.23E+000,3.19E-002
1.19E+003,2.23E+000,3.20E-002
1.19E+003,2.23E+000,3.20E-002
1.19E+003,2.23E+000,3.20E-002
1.20E+003,2.23E+000,3.21E-002
1.20E+003,2.23E+000,3.21E-002
1.20E+003,2.23E+000,3.21E-002
1.20E+003,2.23E+000,3.22E-002
1.20E+003,2.23E+000,3.22E-002
1.21E+003,2.23E+000,3.22E-002
1.21E+003,2.23E+000,3.23E-002
1.21E+003,2.23E+000,3.23E-002
1.21E+003,2.23E+000,3.23E-002
1.21E+003,2.23E+000,3.24E-002
1.22E+003,2.23E+000,3.24E-002
1.22E+003,2.22E+000,3.24E-002
1.22E+003,2.22E+000,3.25E-002
1.22E+003,2.22E+000,3.25E-002
1.22E+003,2.22E+000,3.25E-002
1.23E+003,2.22E+000,3.25E-002
1.23E+003,2.22E+000,3.26E-002
1.23E+003,2.22E+000,3.26E-002
1.23E+003,2.22E+000,3.26E-002
1.23E+003,2.22E+000,3.27E-002
1.24E+003,2.22E+000,3.27E-002
1.24E+003,2.22E+000,3.27E-002
1.24E+003,2.22E+000,3.27E-002
1.24E+003,2.22E+000,3.28E-002
1.24E+003,2.22E+000,3.28E-002
1.25E+003,2.22E+000,3.28E-002
1.25E+003,2.22E+000,3.28E-002
1.25E+003,2.22E+000,3.29E-002
1.25E+003,2.22E+000,3.29E-002
1.25E+003,2.22E+000,3.29E-002
1.26E+003,2.22E+000,3.29E-002
1.26E+003,2.22E+000,3.29E-002
1.26E+003,2.22E+000,3.30E-002
1.26E+003,2.22E+000,3.30E-002
1.26E+003,2.22E+000,3.30E-002
1.27E+003,2.22E+000,3.30E-002
1.27E+003,2.22E+000,3.30E-002
1.27E+003,2.22E+000,3.31E-002
1.27E+003,2.22E+000,3.31E-002
1.27E+003,2.22E+000,3.31E-002
1.28E+003,2.22E+000,3.31E-002
1.28E+003,2.22E+000,3.31E-002
1.28E+003,2.22E+000,3.32E-002
1.28E+003,2.22E+000,3.32E-002
1.28E+003,2.22E+000,3.32E-002
1.29E+003,2.22E+000,3.32E-002
1.29E+003,2.22E+000,3.32E-002
1.29E+003,2.22E+000,3.33E-002
1.29E+003,2.22E+000,3.33E-002
1.29E+003,2.22E+000,3.33E-002
1.30E+003,2.22E+000,3.33E-002
1.30E+003,2.22E+000,3.33E-002
1.30E+003,2.22E+000,3.33E-002
1.30E+003,2.22E+000,3.33E-002
1.30E+003,2.22E+000,3.34E-002
1.31E+003,2.22E+000,3.34E-002
1.31E+003,2.22E+000,3.34E-002
1.31E+003,2.22E+000,3.34E-002
1.31E+003,2.22E+000,3.34E-002
1.31E+003,2.22E+000,3.34E-002
1.32E+003,2.22E+000,3.34E-002
1.32E+003,2.22E+000,3.35E-002
1.32E+003,2.22E+000,3.35E-002
1.32E+003,2.22E+000,3.35E-002
1.32E+003,2.22E+000,3.35E-002
1.33E+003,2.22E+000,3.35E-002
1.33E+003,2.21E+000,3.35E-002
1.33E+003,2.21E+000,3.35E-002
1.33E+003,2.21E+000,3.35E-002
1.33E+003,2.21E+000,3.35E-002
1.34E+003,2.21E+000,3.35E-002
1.34E+003,2.21E+000,3.36E-002
1.34E+003,2.21E+000,3.36E-002
1.34E+003,2.21E+000,3.36E-002
1.34E+003,2.21E+000,3.36E-002
1.35E+003,2.21E+000,3.36E-002
1.35E+003,2.21E+000,3.36E-002
1.35E+003,2.21E+000,3.36E-002
1.35E+003,2.21E+000,3.36E-002
1.35E+003,2.21E+000,3.36E-002
1.36E+003,2.21E+000,3.36E-002
1.36E+003,2.21E+000,3.36E-002
1.36E+003,2.21E+000,3.36E-002
1.36E+003,2.21E+000,3.37E-002
1.36E+003,2.21E+000,3.37E-002
1.37E+003,2.21E+000,3.37E-002
1.37E+003,2.21E+000,3.37E-002
1.37E+003,2.21E+000,3.37E-002
1.37E+003,2.21E+000,3.37E-002
1.37E+003,2.21E+000,3.37E-002
1.38E+003,2.21E+000,3.37E-002
1.38E+003,2.21E+000,3.37E-002
1.38E+003,2.21E+000,3.37E-002
1.38E+003,2.21E+000,3.37E-002
1.38E+003,2.21E+000,3.37E-002
1.39E+003,2.21E+000,3.37E-002
1.39E+003,2.21E+000,3.37E-002
1.39E+003,2.21E+000,3.37E-002
1.39E+003,2.21E+000,3.37E-002
1.39E+003,2.21E+000,3.37E-002
1.40E+003,2.21E+000,3.37E-002
1.40E+003,2.21E+000,3.37E-002
1.40E+003,2.21E+000,3.37E-002
1.40E+003,2.21E+000,3.37E-002
1.40E+003,2.21E+000,3.37E-002
1.41E+003,2.21E+000,3.37E-002
1.41E+003,2.21E+000,3.37E-002
1.41E+003,2.21E+000,3.37E-002
1.41E+003,2.21E+000,3.37E-002
1.41E+003,2.21E+000,3.37E-002
1.42E+003,2.21E+000,3.37E-002
1.42E+003,2.21E+000,3.37E-002
1.42E+003,2.21E+000,3.37E-002
1.42E+003,2.21E+000,3.37E-002
1.42E+003,2.21E+000,3.37E-002
1.43E+003,2.21E+000,3.37E-002
1.43E+003,2.21E+000,3.37E-002
1.43E+003,2.21E+000,3.37E-002
1.43E+003,2.21E+000,3.37E-002
1.43E+003,2.21E+000,3.37E-002
1.44E+003,2.21E+000,3.37E-002
1.44E+003,2.21E+000,3.37E-002
1.44E+003,2.21E+000,3.37E-002
1.44E+003,2.21E+000,3.37E-002
1.44E+003,2.21E+000,3.37E-002
1.45E+003,2.21E+000,3.37E-002
1.45E+003,2.21E+000,3.37E-002
1.45E+003,2.21E+000,3.37E-002
1.45E+003,2.21E+000,3.37E-002
1.45E+003,2.21E+000,3.37E-002
1.46E+003,2.21E+000,3.37E-002
1.46E+003,2.21E+000,3.37E-002
1.46E+003,2.21E+000,3.37E-002
1.46E+003,2.21E+000,3.37E-002
1.46E+003,2.21E+000,3.37E-002
1.47E+003,2.21E+000,3.37E-002
1.47E+003,2.21E+000,3.37E-002
1.47E+003,2.21E+000,3.37E-002
1.47E+003,2.21E+000,3.37E-002
1.47E+003,2.21E+000,3.37E-002
